,Code APE (Aurore),Code APE (Safir),Code safir num,Type de structure,Agence,Territoire,Direction Régionale,Rue,Code Postal,Ville,Nombre de demandeurs d'emploi (DEFM A),Taille moyenne des portefeuille renforcés,Taille moyenne des portefeuille guidés,Taille moyenne des portefeuille suivis,Taux de satisfaction des demandeurs d'emploi_Score APE,Nombre de retours à l’emploi sur 12 mois,Taux de premiers paiements dans les délais,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
33,ARA0133,69040,69040,APE,NEUVILLE SUR SAONE,RHONE,AUVERGNE-RHONE-ALPES,4 AVENUE CARNOT,69250,NEUVILLE SUR SAONE,1762,98.5,180.83333333333334,154.33333333333334,0.618648206605496,2414,0.946489726027397,45.879934,4.836124,4 Avenue Carnot 69250 Neuville-sur-Saône,0.64,housenumber,69143_0170_00004,4,Avenue Carnot,,69250,Neuville-sur-Saône,"69, Rhône, Auvergne-Rhône-Alpes",69143,,,
34,ARA0134,69027,69027,APE,LYON CROIX-ROUSSE,RHONE,AUVERGNE-RHONE-ALPES,49 RUE DE CUIRE,69004,LYON,2184,104.33333333333333,249.66666666666666,286.3333333333333,0.691142090726092,2297,0.942857142857143,45.779204,4.829277,49 Rue de Cuire 69004 Lyon,0.56,housenumber,69384_2025_00049,49,Rue de Cuire,,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement
35,ARA0135,69021,69021,APE,BELLEVILLE,RHONE,AUVERGNE-RHONE-ALPES,16 RUE DU BOIS BARON,69823,BELLEVILLE ,1711,78.8,265.3333333333333,293.5,0.710517742611278,2597,0.948786039453718,46.105942,4.731992,16 Rue du Bois Baron 69220 Belleville-en-Beaujolais,0.54,housenumber,69019_0150_00016,16,Rue du Bois Baron,,69220,Belleville-en-Beaujolais,"69, Rhône, Auvergne-Rhône-Alpes",69019,69019,Belleville,
36,ARA0136,69014,69014,APE,VILLEURBANNE,RHONE,AUVERGNE-RHONE-ALPES,"41, RUE COLIN",69625,VILLEURBANNE,10098,96.8,207.20833333333334,332.875,0.685942655535207,12940,0.93510456871017,45.77326,4.874245,41 Rue Colin 69100 Villeurbanne,0.57,housenumber,69266_1010_00041,41,Rue Colin,,69100,Villeurbanne,"69, Rhône, Auvergne-Rhône-Alpes",69266,,,
37,ARA0138,69003,69003,APE,SAINT FONS,RHONE,AUVERGNE-RHONE-ALPES,"61, rue Mathieu Dussurgey CS80036",69191,ST FONS Cedex,2942,77.25,228.5,501.0,0.73423634269732,3741,0.926227127505083,45.712342,4.861911,61 Rue Mathieu Dussurgey 69190 Saint-Fons,0.6,housenumber,69199_0590_00061,61,Rue Mathieu Dussurgey,,69190,Saint-Fons,"69, Rhône, Auvergne-Rhône-Alpes",69199,,,
38,ARA0142,69184,69184,APE,TASSIN LA DEMI LUNE,RHONE,AUVERGNE-RHONE-ALPES,3 AVENUE DU GENERAL BROSSET,69160,TASSIN LA DEMI LUNE,5719,87.72727272727273,148.08333333333334,272.1,0.77380190660303,8011,0.946013071895425,45.757801,4.776627,3 Avenue Général Brosset 69160 Tassin-la-Demi-Lune,0.65,housenumber,69244_0340_00003,3,Avenue Général Brosset,,69160,Tassin-la-Demi-Lune,"69, Rhône, Auvergne-Rhône-Alpes",69244,,,
39,ARA0143,69225,69225,APE,LYON CONFLUENCE,RHONE,AUVERGNE-RHONE-ALPES,59 RUE DENUZIERE,69002,LYON,3470,79.75,168.71428571428572,145.66666666666666,0.716632395467971,4513,0.937303316388284,45.742809,4.818124,59 Rue Denuzière 69002 Lyon,0.59,housenumber,69382_2140_00059,59,Rue Denuzière,,69002,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69382,,,Lyon 2e Arrondissement
40,ARA0144,69233,69233,APE,LYON VAISE,RHONE,AUVERGNE-RHONE-ALPES,29 AV JOANNES MASSET,69337,LYON  ,5892,124.66666666666667,268.3,325.0,0.622944508496277,7133,0.923979507519418,45.768773,4.80112,29 Avenue Joannès Masset 69009 Lyon,0.55,housenumber,69389_3885_00029,29,Avenue Joannès Masset,,69009,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69389,,,Lyon 9e Arrondissement
41,ARA0145,69241,69241,APE,LYON PART-DIEU,RHONE,AUVERGNE-RHONE-ALPES,26 RUE DU GENERAL MOUTON-DUVERNET,69003,LYON  ,7813,77.91666666666667,247.06666666666666,415.3333333333333,0.680670273088076,9731,0.945452870174145,45.754268,4.861394,26 Rue Général Mouton-Duvernet 69003 Lyon,0.66,housenumber,69383_3145_00026,26,Rue Général Mouton-Duvernet,,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement
42,ARA0147,69256,69256,APE,LYON BOLLIER,RHONE,AUVERGNE-RHONE-ALPES,63 RUE A BOLLIER,69007,LYON,4846,92.71428571428571,251.3,558.3333333333334,0.6275289452996,6327,0.946084285958028,45.734577,4.831798,63 Rue André Bollier 69007 Lyon,0.55,housenumber,69387_0260_00063,63,Rue André Bollier,,69007,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69387,,,Lyon 7e Arrondissement
