,Code APE (Aurore),Code APE (Safir),Code safir num,Type de structure,Agence,Territoire,Direction Régionale,Rue,Code Postal,Ville,Nombre de demandeurs d'emploi (DEFM A),Taille moyenne des portefeuille renforcés,Taille moyenne des portefeuille guidés,Taille moyenne des portefeuille suivis,Taux de satisfaction des demandeurs d'emploi_Score APE,Nombre de retours à l’emploi sur 12 mois,Taux de notification des droits dans les 21 jours,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
31,ARA0133,69040,69040,APE,NEUVILLE SUR SAONE,RHONE,AUVERGNE-RHONE-ALPES,4 AVENUE CARNOT,69250,NEUVILLE SUR SAONE,1803,86.0,105.125,298.0,0.7071961787115068,2403,0.9224389150414706,45.879934,4.836124,4 Avenue Carnot 69250 Neuville-sur-Saône,0.87,housenumber,69143_0170_00004,4,Avenue Carnot,,69250,Neuville-sur-Saône,"69, Rhône, Auvergne-Rhône-Alpes",69143,,,
32,ARA0134,69027,69027,APE,LYON CROIX-ROUSSE,RHONE,AUVERGNE-RHONE-ALPES,49 RUE DE CUIRE,69004,LYON,2044,105.66666666666667,167.83333333333334,459.2608695652174,0.7748802937710261,2895,0.9035409035409036,45.779204,4.829277,49 Rue de Cuire 69004 Lyon,0.84,housenumber,69384_2025_00049,49,Rue de Cuire,,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement
33,ARA0135,69021,69021,APE,BELLEVILLE,RHONE,AUVERGNE-RHONE-ALPES,16 RUE DU BOIS BARON,69823,BELLEVILLE ,1803,121.75,203.75,263.5,0.7802784098920322,2561,0.9102624179943768,46.105942,4.731992,16 Rue du Bois Baron 69220 Belleville-en-Beaujolais,0.59,housenumber,69019_0150_00016,16,Rue du Bois Baron,,69220,Belleville-en-Beaujolais,"69, Rhône, Auvergne-Rhône-Alpes",69019,69019,Belleville,
34,ARA0136,69014,69014,APE,VILLEURBANNE,RHONE,AUVERGNE-RHONE-ALPES,"41, RUE COLIN",69625,VILLEURBANNE,11116,115.38888888888889,287.94444444444446,491.0,0.7081617917068879,12684,0.8972897114288221,45.77326,4.874245,41 Rue Colin 69100 Villeurbanne,0.74,housenumber,69266_1010_00041,41,Rue Colin,,69100,Villeurbanne,"69, Rhône, Auvergne-Rhône-Alpes",69266,,,
35,ARA0138,69003,69003,APE,SAINT FONS,RHONE,AUVERGNE-RHONE-ALPES,"61, rue Mathieu Dussurgey CS80036",69191,ST FONS Cedex,3152,82.5,221.0,641.0,0.7575233431006891,3671,0.8943313953488372,45.712342,4.861911,61 Rue Mathieu Dussurgey 69190 Saint-Fons,0.57,housenumber,69199_0590_00061,61,Rue Mathieu Dussurgey,,69190,Saint-Fons,"69, Rhône, Auvergne-Rhône-Alpes",69199,,,
36,ARA0142,69184,69184,APE,TASSIN LA DEMI LUNE,RHONE,AUVERGNE-RHONE-ALPES,3 AVENUE DU GENERAL BROSSET,69160,TASSIN LA DEMI LUNE,6442,103.27272727272727,178.69230769230768,268.5,0.7809867802636059,7899,0.8972357960761432,45.757801,4.776627,3 Avenue Général Brosset 69160 Tassin-la-Demi-Lune,0.85,housenumber,69244_0340_00003,3,Avenue Général Brosset,,69160,Tassin-la-Demi-Lune,"69, Rhône, Auvergne-Rhône-Alpes",69244,,,
37,ARA0143,69225,69225,APE,LYON CONFLUENCE,RHONE,AUVERGNE-RHONE-ALPES,59 RUE DENUZIERE,69002,LYON,4045,69.8,210.0,154.75,0.7722681126013441,4661,0.904851625058879,45.742809,4.818124,59 Rue Denuzière 69002 Lyon,0.84,housenumber,69382_2140_00059,59,Rue Denuzière,,69002,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69382,,,Lyon 2e Arrondissement
38,ARA0144,69233,69233,APE,LYON VAISE,RHONE,AUVERGNE-RHONE-ALPES,29 AV JOANNES MASSET,69337,LYON  ,6449,95.28571428571429,221.23529411764707,359.0,0.6869377079773445,7020,0.8823937153419593,45.768773,4.80112,29 Avenue Joannès Masset 69009 Lyon,0.62,housenumber,69389_3885_00029,29,Avenue Joannès Masset,,69009,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69389,,,Lyon 9e Arrondissement
39,ARA0145,69241,69241,APE,LYON PART-DIEU,RHONE,AUVERGNE-RHONE-ALPES,26 RUE DU GENERAL MOUTON-DUVERNET,69003,LYON  ,8291,98.08333333333333,237.86666666666667,368.2,0.7250438788379489,9269,0.8979848147513844,45.754268,4.861394,26 Rue Général Mouton-Duvernet 69003 Lyon,0.83,housenumber,69383_3145_00026,26,Rue Général Mouton-Duvernet,,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement
40,ARA0147,69256,69256,APE,LYON JEAN JAURES,RHONE,AUVERGNE-RHONE-ALPES,7 RUE ABRAHAM BLOCH,69007,LYON,5539,88.4,212.0909090909091,315.8,0.6500958687655506,6418,0.8669546070460704,45.739616,4.841812,7 Rue Abraham Bloch 69007 Lyon,0.85,housenumber,69387_0035_00007,7,Rue Abraham Bloch,,69007,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69387,,,Lyon 7e Arrondissement
