,Code APE (Aurore),Code APE (Safir),Code safir num,Type de structure,Agence,Territoire,Direction Régionale,Rue,Code Postal,Ville,Nombre de demandeurs d'emploi (DEFM A),Taille moyenne des portefeuille renforcés,Taille moyenne des portefeuille guidés,Taille moyenne des portefeuille suivis,Taux de satisfaction des demandeurs d'emploi_Score APE,Nombre de retours à l’emploi sur 12 mois,Taux de premiers paiements dans les délais,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
557,ARA0135,69021,69021,APE,BELLEVILLE,RHONE,AUVERGNE-RHONE ALPES,16 RUE DU BOIS BARON,69823,BELLEVILLE ,1699,95.25,258.3333333333333,288.0,0.6070573131120354,2542,0.9487179487179487,46.105942,4.731992,16 Rue du Bois Baron 69220 Belleville-en-Beaujolais,0.59,housenumber,69019_0150_00016,16,Rue du Bois Baron,,69220,Belleville-en-Beaujolais,"69, Rhône, Auvergne-Rhône-Alpes",69019,69019,Belleville,
558,ARA0148,69272,69272,APE,BRON,RHONE,AUVERGNE-RHONE ALPES,3 AVENUE DU 8 MAI 1945,69675,BRON ,3266,84.66666666666667,172.8,274.4,0.637342612453273,3884,0.9476138233680746,45.730242,4.917211,3 Avenue du 8 Mai 1945 69500 Bron,0.75,housenumber,69029_0890_00003,3,Avenue du 8 Mai 1945,,69500,Bron,"69, Rhône, Auvergne-Rhône-Alpes",69029,,,
559,ARA0159,69109,69109,APE,CALUIRE ET CUIRE,RHONE,AUVERGNE-RHONE ALPES,9 CHEMIN DES PETITES BROSSES,69643,CALUIRE ET CUIRE ,1923,61.6,127.16666666666667,330.0,0.763228998087005,2343,0.9346826126954921,45.796525,4.854651,9 Chemin des Petites Brosses 69300 Caluire-et-Cuire,0.83,housenumber,69034_1590_00009,9,Chemin des Petites Brosses,,69300,Caluire-et-Cuire,"69, Rhône, Auvergne-Rhône-Alpes",69034,,,
560,ARA0157,69096,69096,APE,GIVORS,RHONE,AUVERGNE-RHONE ALPES,18 RUE JACQUES PREVERT,69701,GIVORS ,3174,83.71428571428571,202.625,290.0,0.7457060068158189,3751,0.9349881796690307,46.169633,-1.194091,18 Rue Jacques Prevert 17000 La Rochelle,0.65,housenumber,17300_6682_00018,18,Rue Jacques Prevert,,17000,La Rochelle,"17, Charente-Maritime, Nouvelle-Aquitaine",17300,,,
561,ARA0150,69313,69313,APE,LYON ALBERT THOMAS,RHONE,AUVERGNE-RHONE ALPES,68 COURS ALBERT THOMAS,69373,LYON  ,4558,110.44444444444444,176.6,387.6666666666667,0.6237685141552647,5956,0.9365254081819849,45.746534,4.867971,68 Cours Albert Thomas 69008 Lyon,0.75,housenumber,69388_0120_00068,68,Cours Albert Thomas,,69008,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69388,,,Lyon 8e Arrondissement
562,ARA0147,69256,69256,APE,LYON BOLLIER,RHONE,AUVERGNE-RHONE ALPES,63 RUE A BOLLIER,69007,LYON,4491,84.83333333333333,167.25,204.0,0.646699929331624,5587,0.9609486812512779,45.734577,4.831798,63 Rue André Bollier 69007 Lyon,0.7,housenumber,69387_0260_00063,63,Rue André Bollier,,69007,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69387,,,Lyon 7e Arrondissement
563,ARA0143,69225,69225,APE,LYON CONFLUENCE,RHONE,AUVERGNE-RHONE ALPES,59 RUE DENUZIERE,69002,LYON,3092,77.28571428571429,131.55555555555554,256.5,0.7324934550068207,4155,0.9453145739315105,45.742809,4.818124,59 Rue Denuzière 69002 Lyon,0.84,housenumber,69382_2140_00059,59,Rue Denuzière,,69002,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69382,,,Lyon 2e Arrondissement
564,ARA0134,69027,69027,APE,LYON CROIX-ROUSSE,RHONE,AUVERGNE-RHONE ALPES,49 RUE DE CUIRE,69004,LYON,1662,88.66666666666667,207.5,307.6666666666667,0.5970694720177908,2039,0.9490114464099896,45.779204,4.829277,49 Rue de Cuire 69004 Lyon,0.84,housenumber,69384_2025_00049,49,Rue de Cuire,,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement
565,ARA0145,69241,69241,APE,LYON PART-DIEU,RHONE,AUVERGNE-RHONE ALPES,26 RUE DU GENERAL MOUTON-DUVERNET,69003,LYON  ,7300,126.27272727272727,210.58333333333334,308.1111111111111,0.6408850610918898,8416,0.9430091920657958,45.754268,4.861394,26 Rue Général Mouton-Duvernet 69003 Lyon,0.83,housenumber,69383_3145_00026,26,Rue Général Mouton-Duvernet,,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement
566,ARA0144,69233,69233,APE,LYON VAISE,RHONE,AUVERGNE-RHONE ALPES,29 AV JOANNES MASSET,69337,LYON  ,5419,111.4,194.7,322.6,0.6379836037044554,6504,0.9314967860422406,45.768773,4.80112,29 Avenue Joannès Masset 69009 Lyon,0.62,housenumber,69389_3885_00029,29,Avenue Joannès Masset,,69009,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69389,,,Lyon 9e Arrondissement
567,ARA0164,69176,69176,APE,MEYZIEU,RHONE,AUVERGNE-RHONE ALPES,20 RUE DE LA REPUBLIQUE,69330,MEYZIEU,3792,77.25,159.27272727272728,436.5,0.6980362432415729,4748,0.9315623592976137,45.766711,4.996934,20 Rue de la République 69330 Meyzieu,0.88,housenumber,69282_1110_00020,20,Rue de la République,,69330,Meyzieu,"69, Rhône, Auvergne-Rhône-Alpes",69282,,,
568,ARA0133,69040,69040,APE,NEUVILLE SUR SAONE,RHONE,AUVERGNE-RHONE ALPES,4 AVENUE CARNOT,69250,NEUVILLE SUR SAONE,1873,95.66666666666667,207,212.0,0.6043618247956725,2374,0.9333627537511032,45.879934,4.836124,4 Avenue Carnot 69250 Neuville-sur-Saône,0.87,housenumber,69143_0170_00004,4,Avenue Carnot,,69250,Neuville-sur-Saône,"69, Rhône, Auvergne-Rhône-Alpes",69143,,,
569,ARA0163,69153,69153,APE,OULLINS,RHONE,AUVERGNE-RHONE ALPES,11 RUE BAUDIN,69600,OULLINS,6258,72.3,182.4,388.0,0.6779795688725588,8025,0.9345915574124766,45.716615,4.818316,11 Rue Pierre Baudin 69600 Oullins,0.67,housenumber,69149_0100_00011,11,Rue Pierre Baudin,,69600,Oullins,"69, Rhône, Auvergne-Rhône-Alpes",69149,,,
