,Code APE (Aurore),Code APE (Safir),Code safir num,Type de structure,Agence,Territoire,Direction Régionale,Rue,Code Postal,Ville,Nombre de demandeurs d'emploi (DEFM A),Taille moyenne des portefeuille renforcés,Taille moyenne des portefeuille guidés,Taille moyenne des portefeuille suivis,Nombre de retours à l’emploi sur 12 mois,Taux de premiers paiements dans les délais,Taux de satisfaction des demandeurs d'emploi - Base APE,Taux de satisfaction des demandeurs d'emploi - Score APE,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
69,RHA0066,69021,69021,APE,BELLEVILLE,RHONE,AUVERGNE-RHONE ALPES,16 RUE DU BOIS BARON,69823,BELLEVILLE ,1711,84.5,195.0,512.0,2368,0.8823767178658044,105,0.5724273974939456,46.105942,4.731992,16 Rue du Bois Baron 69220 Belleville-en-Beaujolais,0.59,housenumber,69019_0150_00016,16,Rue du Bois Baron,,69220,Belleville-en-Beaujolais,"69, Rhône, Auvergne-Rhône-Alpes",69019,69019,Belleville,
70,RHA0079,69272,69272,APE,BRON,RHONE,AUVERGNE-RHONE ALPES,3 AVENUE DU 8 MAI 1945,69675,BRON ,3243,80.85714285714286,185.2,246.6,3654,0.9349061967026719,141,0.5975066324136087,45.730242,4.917211,3 Avenue du 8 Mai 1945 69500 Bron,0.75,housenumber,69029_0890_00003,3,Avenue du 8 Mai 1945,,69500,Bron,"69, Rhône, Auvergne-Rhône-Alpes",69029,,,
71,RHA0090,69109,69109,APE,CALUIRE ET CUIRE,RHONE,AUVERGNE-RHONE ALPES,9 CHEMIN DES PETITES BROSSES,69643,CALUIRE ET CUIRE ,1879,78.75,110.57142857142857,329.0,2226,0.9350307287093942,114,0.6565721085024427,45.796525,4.854651,9 Chemin des Petites Brosses 69300 Caluire-et-Cuire,0.83,housenumber,69034_1590_00009,9,Chemin des Petites Brosses,,69300,Caluire-et-Cuire,"69, Rhône, Auvergne-Rhône-Alpes",69034,,,
72,RHA0088,69096,69096,APE,GIVORS,RHONE,AUVERGNE-RHONE ALPES,18 RUE JACQUES PREVERT,69701,GIVORS ,3183,65.33333333333333,217.0,265.0,3625,0.9297026951931092,115,0.6775572647219923,46.169633,-1.194091,18 Rue Jacques Prevert 17000 La Rochelle,0.65,housenumber,17300_6682_00018,18,Rue Jacques Prevert,,17000,La Rochelle,"17, Charente-Maritime, Nouvelle-Aquitaine",17300,,,
73,RHA0081,69313,69313,APE,LYON ALBERT THOMAS,RHONE,AUVERGNE-RHONE ALPES,68 COURS ALBERT THOMAS,69373,LYON  ,4423,97.9,158.88888888888889,249.2,5376,0.9384993849938499,128,0.541987708927289,45.746534,4.867971,68 Cours Albert Thomas 69008 Lyon,0.75,housenumber,69388_0120_00068,68,Cours Albert Thomas,,69008,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69388,,,Lyon 8e Arrondissement
74,RHA0078,69256,69256,APE,LYON BOLLIER,RHONE,AUVERGNE-RHONE ALPES,63 RUE A BOLLIER,69007,LYON,4256,79.0,163.83333333333334,121.33333333333333,5210,0.9481234034191394,208,0.5911343119392258,45.734577,4.831798,63 Rue André Bollier 69007 Lyon,0.7,housenumber,69387_0260_00063,63,Rue André Bollier,,69007,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69387,,,Lyon 7e Arrondissement
75,RHA0074,69225,69225,APE,LYON CONFLUENCE,RHONE,AUVERGNE-RHONE ALPES,59 RUE DENUZIERE,69002,LYON,2955,81.42857142857143,113.45454545454545,263.3333333333333,3660,0.9228161668839635,150,0.6144288239500747,45.742809,4.818124,59 Rue Denuzière 69002 Lyon,0.84,housenumber,69382_2140_00059,59,Rue Denuzière,,69002,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69382,,,Lyon 2e Arrondissement
76,RHA0065,69027,69027,APE,LYON CROIX-ROUSSE,RHONE,AUVERGNE-RHONE ALPES,49 RUE DE CUIRE,69004,LYON,1619,87.66666666666667,78.66666666666667,278.6666666666667,1892,0.9421573736321001,ND,ND,45.779204,4.829277,49 Rue de Cuire 69004 Lyon,0.84,housenumber,69384_2025_00049,49,Rue de Cuire,,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement
77,RHA0076,69241,69241,APE,LYON PART-DIEU,RHONE,AUVERGNE-RHONE ALPES,26 RUE DU GENERAL MOUTON-DUVERNET,69003,LYON  ,6764,135.2,174.28571428571428,231.25,7609,0.9390822784810127,278,0.46000534965721074,45.754268,4.861394,26 Rue Général Mouton-Duvernet 69003 Lyon,0.83,housenumber,69383_3145_00026,26,Rue Général Mouton-Duvernet,,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement
78,RHA0075,69233,69233,APE,LYON VAISE,RHONE,AUVERGNE-RHONE ALPES,29 AV JOANNES MASSET,69337,LYON  ,5405,76.61538461538461,173.5,290.5,6060,0.9325691166554282,164,0.5664862696599221,45.768773,4.80112,29 Avenue Joannès Masset 69009 Lyon,0.62,housenumber,69389_3885_00029,29,Avenue Joannès Masset,,69009,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69389,,,Lyon 9e Arrondissement
