,Code APE (Aurore),Code APE (Safir),Code safir num,Type de structure,Agence,Territoire,Direction Régionale,Rue,Code Postal,Ville,Nombre de demandeurs d'emploi (DEFM A),Taille moyenne des portefeuille renforcés,Taille moyenne des portefeuille guidés,Taille moyenne des portefeuille suivis,Taux de satisfaction des demandeurs d'emploi_Score APE,Nombre de retours à l’emploi sur 12 mois,Taux de premiers paiements dans les délais,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
33,ARA0133,69040,69040,APE,NEUVILLE SUR SAONE,RHONE,AUVERGNE-RHONE-ALPES,4 AVENUE CARNOT,69250,NEUVILLE SUR SAONE,1724,106.0,170.16666666666666,248.5,0.5947183326048343,2433,0.9559512652296157,45.879934,4.836124,4 Avenue Carnot 69250 Neuville-sur-Saône,0.87,housenumber,69143_0170_00004,4,Avenue Carnot,,69250,Neuville-sur-Saône,"69, Rhône, Auvergne-Rhône-Alpes",69143,,,
34,ARA0134,69027,69027,APE,LYON CROIX-ROUSSE,RHONE,AUVERGNE-RHONE-ALPES,49 RUE DE CUIRE,69004,LYON,1811,105.66666666666667,252.0,219.6,0.6028055511297236,2149,0.9581589958158996,45.779204,4.829277,49 Rue de Cuire 69004 Lyon,0.84,housenumber,69384_2025_00049,49,Rue de Cuire,,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement
35,ARA0135,69021,69021,APE,BELLEVILLE,RHONE,AUVERGNE-RHONE-ALPES,16 RUE DU BOIS BARON,69823,BELLEVILLE ,1535,79.0,248.33333333333334,267,0.7643545077174672,2650,0.9476351351351351,46.105942,4.731992,16 Rue du Bois Baron 69220 Belleville-en-Beaujolais,0.59,housenumber,69019_0150_00016,16,Rue du Bois Baron,,69220,Belleville-en-Beaujolais,"69, Rhône, Auvergne-Rhône-Alpes",69019,69019,Belleville,
36,ARA0136,69014,69014,APE,VILLEURBANNE,RHONE,AUVERGNE-RHONE-ALPES,"41, RUE COLIN",69625,VILLEURBANNE,9752,110.0,185.54166666666666,335.44444444444446,0.69480039821565,12756,0.9491249491249492,45.77326,4.874245,41 Rue Colin 69100 Villeurbanne,0.74,housenumber,69266_1010_00041,41,Rue Colin,,69100,Villeurbanne,"69, Rhône, Auvergne-Rhône-Alpes",69266,,,
37,ARA0138,69003,69003,APE,SAINT FONS,RHONE,AUVERGNE-RHONE-ALPES,28 RUE GAMBETTA,69190,ST FONS,2796,77.33333333333333,171.25,276.6666666666667,0.7692765275939293,3722,0.9346031746031747,45.70791,4.853281,28 Rue Gambetta 69190 Saint-Fons,0.72,housenumber,69199_0370_00028,28,Rue Gambetta,,69190,Saint-Fons,"69, Rhône, Auvergne-Rhône-Alpes",69199,,,
38,ARA0142,69184,69184,APE,TASSIN LA DEMI LUNE,RHONE,AUVERGNE-RHONE-ALPES,3 AVENUE DU GENERAL BROSSET,69160,TASSIN LA DEMI LUNE,5565,83.63636363636364,155.72727272727272,218.41666666666666,0.7740864652360395,8116,0.9556451612903226,45.757801,4.776627,3 Avenue Général Brosset 69160 Tassin-la-Demi-Lune,0.85,housenumber,69244_0340_00003,3,Avenue Général Brosset,,69160,Tassin-la-Demi-Lune,"69, Rhône, Auvergne-Rhône-Alpes",69244,,,
39,ARA0143,69225,69225,APE,LYON CONFLUENCE,RHONE,AUVERGNE-RHONE-ALPES,59 RUE DENUZIERE,69002,LYON,3282,77.625,157.0,224.75,0.7349523806857706,4283,0.9431072210065645,45.742809,4.818124,59 Rue Denuzière 69002 Lyon,0.84,housenumber,69382_2140_00059,59,Rue Denuzière,,69002,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69382,,,Lyon 2e Arrondissement
40,ARA0144,69233,69233,APE,LYON VAISE,RHONE,AUVERGNE-RHONE-ALPES,29 AV JOANNES MASSET,69337,LYON  ,5638,127.44444444444444,200.33333333333334,394.5,0.6217056138049769,6874,0.9335066864784547,45.768773,4.80112,29 Avenue Joannès Masset 69009 Lyon,0.62,housenumber,69389_3885_00029,29,Avenue Joannès Masset,,69009,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69389,,,Lyon 9e Arrondissement
41,ARA0145,69241,69241,APE,LYON PART-DIEU,RHONE,AUVERGNE-RHONE-ALPES,26 RUE DU GENERAL MOUTON-DUVERNET,69003,LYON  ,7659,81.5,231.23076923076923,330.22222222222223,0.7020619911549606,9176,0.9585730724971231,45.754268,4.861394,26 Rue Général Mouton-Duvernet 69003 Lyon,0.83,housenumber,69383_3145_00026,26,Rue Général Mouton-Duvernet,,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement
42,ARA0147,69256,69256,APE,LYON BOLLIER,RHONE,AUVERGNE-RHONE-ALPES,63 RUE A BOLLIER,69007,LYON,4487,114.0,219.7,301.2,0.5634800105786445,5998,0.9406813627254509,45.734577,4.831798,63 Rue André Bollier 69007 Lyon,0.7,housenumber,69387_0260_00063,63,Rue André Bollier,,69007,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69387,,,Lyon 7e Arrondissement
