,Agence,Territoire,Direction Régionale,Rue,Code Postal,Ville,Nombre de retours à l’emploi sur 12 mois ,Taux de premiers paiements dans les délais,Taille moyenne des portefeuilles renforcés,Taille moyenne des portefeuilles guidés,Taille moyenne des portefeuilles suivis,Taux de satisfaction des demandeurs d'emploi,Taux de satisfaction des entreprises niveau départemental,Nombre de demandeurs d'emploi,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
224,BELLEVILLE,RHONE,AUVERGNE-RHONE ALPES,16 RUE DU BOIS BARON,69823,BELLEVILLE ,2340,84%,76,96,140,64%,62%,1813,46.105942,4.731992,16 Rue du Bois Baron 69220 Belleville-en-Beaujolais,0.59,housenumber,69019_0150_00016,16,Rue du Bois Baron,,69220,Belleville-en-Beaujolais,"69, Rhône, Auvergne-Rhône-Alpes",69019,69019,Belleville,
225,BRON,RHONE,AUVERGNE-RHONE ALPES,3 AVENUE DU 8 MAI 1945,69675,BRON ,3509,88%,56,155,154,48%,62%,3400,45.730242,4.917211,3 Avenue du 8 Mai 1945 69500 Bron,0.8,housenumber,69029_0890_00003,3,Avenue du 8 Mai 1945,,69500,Bron,"69, Rhône, Auvergne-Rhône-Alpes",69029,,,
226,CALUIRE ET CUIRE,RHONE,AUVERGNE-RHONE ALPES,9 CHEMIN DES PETITES BROSSES,69643,CALUIRE ET CUIRE ,2084,91%,64,96,136,61%,62%,1924,45.796525,4.854651,9 Chemin des Petites Brosses 69300 Caluire-et-Cuire,0.83,housenumber,69034_1590_00009,9,Chemin des Petites Brosses,,69300,Caluire-et-Cuire,"69, Rhône, Auvergne-Rhône-Alpes",69034,,,
227,GIVORS,RHONE,AUVERGNE-RHONE ALPES,18 RUE JACQUES PREVERT,69701,GIVORS ,3220,92%,71,163,198,73%,62%,3383,49.217448,4.030042,18 Rue Jacques Prévert 51100 Reims,0.63,housenumber,51454_4756_00018,18,Rue Jacques Prévert,,51100,Reims,"51, Marne, Grand Est",51454,,,
228,LYON ALBERT THOMAS,RHONE,AUVERGNE-RHONE ALPES,68 COURS ALBERT THOMAS,69373,LYON  ,5124,95%,65,167,216,53%,62%,4627,45.746534,4.867971,68 Cours Albert Thomas 69008 Lyon,0.75,housenumber,69388_0120_00068,68,Cours Albert Thomas,,69008,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69388,,,Lyon 8e Arrondissement
229,LYON BOLLIER,RHONE,AUVERGNE-RHONE ALPES,63 RUE A BOLLIER,69007,LYON,5096,96%,47,121,160,60%,62%,4431,48.880409,2.135166,Rue de la Cote a Belier 78290 Croissy-sur-Seine,0.29,street,78190_0169,,Rue de la Cote a Belier,,78290,Croissy-sur-Seine,"78, Yvelines, Île-de-France",78190,,,
230,LYON CONFLUENCE,RHONE,AUVERGNE-RHONE ALPES,59 RUE DENUZIERE,69002,LYON,3390,89%,60,88,199,69%,62%,3100,45.742809,4.818124,59 Rue Denuzière 69002 Lyon,0.84,housenumber,69382_2140_00059,59,Rue Denuzière,,69002,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69382,,,Lyon 2e Arrondissement
231,LYON CROIX-ROUSSE,RHONE,AUVERGNE-RHONE ALPES,49 RUE DE CUIRE,69004,LYON,1774,92%,69,99,143,62%,62%,1570,45.779204,4.829277,49 Rue de Cuire 69004 Lyon,0.84,housenumber,69384_2025_00049,49,Rue de Cuire,,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement
232,LYON VAISE,RHONE,AUVERGNE-RHONE ALPES,29 AV JOANNES MASSET,69337,LYON  ,5698,87%,75,155,254,55%,62%,5493,45.768773,4.80112,29 Avenue Joannès Masset 69009 Lyon,0.62,housenumber,69389_3885_00029,29,Avenue Joannès Masset,,69009,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69389,,,Lyon 9e Arrondissement
233,LYON VIVIER MERLE,RHONE,AUVERGNE-RHONE ALPES,107 BD VIVIER MERLE,69438,LYON  ,7227,93%,66,98,153,54%,62%,6695,45.75332,4.859586,107 Boulevard Marius Vivier-Merle 69003 Lyon,0.49,housenumber,69383_7520_00107,107,Boulevard Marius Vivier-Merle,,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement
