,Code APE (Aurore),Code APE (Safir),Code safir num,Type de structure,Agence,Territoire,Direction Régionale,Rue,Code Postal,Ville,Nombre de demandeurs d'emploi (DEFM A),Taille moyenne des portefeuille renforcés,Taille moyenne des portefeuille guidés,Taille moyenne des portefeuille suivis,Taux de satisfaction des demandeurs d'emploi_Score APE,Nombre de retours à l’emploi sur 12 mois,Taux de premiers paiements dans les délais,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
222,RHA0066,69021,69021,APE,BELLEVILLE,RHONE,AUVERGNE-RHONE ALPES,16 RUE DU BOIS BARON,69823,BELLEVILLE ,1582,75.0,165.33333333333334,233.5,0.591885162919442,2395,0.8487247141600703,46.105942,4.731992,16 Rue du Bois Baron 69220 Belleville-en-Beaujolais,0.59,housenumber,69019_0150_00016,16,Rue du Bois Baron,,69220,Belleville-en-Beaujolais,"69, Rhône, Auvergne-Rhône-Alpes",69019,69019,Belleville,
223,RHA0079,69272,69272,APE,BRON,RHONE,AUVERGNE-RHONE ALPES,3 AVENUE DU 8 MAI 1945,69675,BRON ,3250,74.25,181.5,236.0,0.5318314691127222,3549,0.9336332958380202,45.730242,4.917211,3 Avenue du 8 Mai 1945 69500 Bron,0.75,housenumber,69029_0890_00003,3,Avenue du 8 Mai 1945,,69500,Bron,"69, Rhône, Auvergne-Rhône-Alpes",69029,,,
224,RHA0090,69109,69109,APE,CALUIRE ET CUIRE,RHONE,AUVERGNE-RHONE ALPES,9 CHEMIN DES PETITES BROSSES,69643,CALUIRE ET CUIRE ,1890,71.25,90.55555555555556,294.0,0.6550551334933801,2125,0.92520035618878,45.796525,4.854651,9 Chemin des Petites Brosses 69300 Caluire-et-Cuire,0.83,housenumber,69034_1590_00009,9,Chemin des Petites Brosses,,69300,Caluire-et-Cuire,"69, Rhône, Auvergne-Rhône-Alpes",69034,,,
225,RHA0088,69096,69096,APE,GIVORS,RHONE,AUVERGNE-RHONE ALPES,18 RUE JACQUES PREVERT,69701,GIVORS ,3100,57.666666666666664,203.125,255.5,0.6948274019398367,3403,0.9345271404588696,46.169633,-1.194091,18 Rue Jacques Prevert 17000 La Rochelle,0.65,housenumber,17300_6682_00018,18,Rue Jacques Prevert,,17000,La Rochelle,"17, Charente-Maritime, Nouvelle-Aquitaine",17300,,,
226,RHA0081,69313,69313,APE,LYON ALBERT THOMAS,RHONE,AUVERGNE-RHONE ALPES,68 COURS ALBERT THOMAS,69373,LYON  ,4366,99.11111111111111,149.4,298.75,0.5311427548960457,5160,0.9454140363906424,45.746534,4.867971,68 Cours Albert Thomas 69008 Lyon,0.75,housenumber,69388_0120_00068,68,Cours Albert Thomas,,69008,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69388,,,Lyon 8e Arrondissement
227,RHA0078,69256,69256,APE,LYON BOLLIER,RHONE,AUVERGNE-RHONE ALPES,63 RUE A BOLLIER,69007,LYON,4109,77.2,146.84615384615384,240.8,0.5871543711999334,5123,0.955338153977031,45.734577,4.831798,63 Rue André Bollier 69007 Lyon,0.7,housenumber,69387_0260_00063,63,Rue André Bollier,,69007,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69387,,,Lyon 7e Arrondissement
228,RHA0074,69225,69225,APE,LYON CONFLUENCE,RHONE,AUVERGNE-RHONE ALPES,59 RUE DENUZIERE,69002,LYON,2877,67.14285714285714,112.27272727272727,247.0,0.647807155612754,3519,0.9365250134480904,45.742809,4.818124,59 Rue Denuzière 69002 Lyon,0.84,housenumber,69382_2140_00059,59,Rue Denuzière,,69002,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69382,,,Lyon 2e Arrondissement
229,RHA0065,69027,69027,APE,LYON CROIX-ROUSSE,RHONE,AUVERGNE-RHONE ALPES,49 RUE DE CUIRE,69004,LYON,1489,60.75,110.0,185.33333333333334,0.5149915915613351,1843,0.9583802024746907,45.779204,4.829277,49 Rue de Cuire 69004 Lyon,0.84,housenumber,69384_2025_00049,49,Rue de Cuire,,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement
230,RHA0075,69233,69233,APE,LYON VAISE,RHONE,AUVERGNE-RHONE ALPES,29 AV JOANNES MASSET,69337,LYON  ,5126,79.33333333333333,182.0,288.5,0.5071142006638018,5930,0.9363013698630137,45.768773,4.80112,29 Avenue Joannès Masset 69009 Lyon,0.62,housenumber,69389_3885_00029,29,Avenue Joannès Masset,,69009,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69389,,,Lyon 9e Arrondissement
231,RHA0076,69241,69241,APE,LYON VIVIER MERLE,RHONE,AUVERGNE-RHONE ALPES,107 BD VIVIER MERLE,69438,LYON  ,6401,108.9090909090909,163.07142857142858,210.41666666666666,0.45376551461882625,7348,0.9432785025524674,45.75332,4.859586,107 Boulevard Marius Vivier-Merle 69003 Lyon,0.49,housenumber,69383_7520_00107,107,Boulevard Marius Vivier-Merle,,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement
232,RHA0095,69176,69176,APE,MEYZIEU,RHONE,AUVERGNE-RHONE ALPES,20 RUE DE LA REPUBLIQUE,69330,MEYZIEU,3711,66.33333333333333,148.76923076923077,385.0,0.6650382454397604,4440,0.8869289914066033,45.766711,4.996934,20 Rue de la République 69330 Meyzieu,0.88,housenumber,69282_1110_00020,20,Rue de la République,,69330,Meyzieu,"69, Rhône, Auvergne-Rhône-Alpes",69282,,,
233,RHA0064,69040,69040,APE,NEUVILLE SUR SAONE,RHONE,AUVERGNE-RHONE ALPES,4 AVENUE CARNOT,69250,NEUVILLE SUR SAONE,1774,73.0,209.0,35.2,0.6133340015017711,2215,0.9521484375,45.879934,4.836124,4 Avenue Carnot 69250 Neuville-sur-Saône,0.87,housenumber,69143_0170_00004,4,Avenue Carnot,,69250,Neuville-sur-Saône,"69, Rhône, Auvergne-Rhône-Alpes",69143,,,
234,RHA0094,69153,69153,APE,OULLINS,RHONE,AUVERGNE-RHONE ALPES,11 RUE BAUDIN,69600,OULLINS,5936,70.83333333333333,164.6,363.0,0.5881075604745404,7511,0.9168533034714446,45.716615,4.818316,11 Rue Pierre Baudin 69600 Oullins,0.67,housenumber,69149_0100_00011,11,Rue Pierre Baudin,,69600,Oullins,"69, Rhône, Auvergne-Rhône-Alpes",69149,,,
235,RHA0089,69106,69106,APE,RILLIEUX LA PAPE,RHONE,AUVERGNE-RHONE ALPES,65 RUE PESAGE,69140,RILLIEUX LA PAPE,2207,58.5,123.14285714285714,86.4,0.7326501506446929,2639,0.9547813194959229,45.817486,4.889134,65 Rue du Pesage 69140 Rillieux-la-Pape,0.8,housenumber,69286_0599_00065,65,Rue du Pesage,,69140,Rillieux-la-Pape,"69, Rhône, Auvergne-Rhône-Alpes",69286,,,
236,RHA0069,69003,69003,APE,SAINT FONS,RHONE,AUVERGNE-RHONE ALPES,28 RUE GAMBETTA,69190,ST FONS,2832,77.5,167.0,535.5,ND,3150,0.9234844025897587,45.70791,4.853281,28 Rue Gambetta 69190 Saint-Fons,0.72,housenumber,69199_0370_00028,28,Rue Gambetta,,69190,Saint-Fons,"69, Rhône, Auvergne-Rhône-Alpes",69199,,,
237,RHA0091,69114,69114,APE,SAINT PRIEST,RHONE,AUVERGNE-RHONE ALPES,17 TER BD FRANCOIS REYMOND,69803,ST PRIEST ,4576,72.71428571428571,146.8181818181818,207.0,0.5481976844329105,5288,0.9486623282718727,45.698006,4.942334,Boulevard François Reymond 69800 Saint-Priest,0.53,street,69290_0590,,Boulevard François Reymond,,69800,Saint-Priest,"69, Rhône, Auvergne-Rhône-Alpes",69290,,,
